date,followers,new_followers
2025-09-25,1585,0
2025-09-26,1588,3
2025-09-27,1588,0
2025-09-28,1588,0
2025-09-29,1590,2
2025-09-30,1589,-1
2025-10-01,1589,0
2025-10-02,1588,-1
2025-10-03,1589,1
2025-10-04,1589,0
2025-10-05,1589,0
2025-10-06,1590,1
2025-10-07,1591,1
2025-10-09,1593,2
2025-10-10,1594,1
2025-10-11,1594,0
2025-10-12,1595,1
2025-10-13,1598,3
2025-10-14,1600,2
2025-10-15,1602,2
2025-10-16,1603,1
2025-10-17,1602,-1
2025-10-18,1607,5
2025-10-19,1607,0
2025-10-20,1610,3
2025-10-21,1612,2
2025-10-22,1612,0
